laptop_name,laptop_url,laptop_price,laptop_manufacturer,laptop_resolution,laptop_processor_class,laptop_ram_type,laptop_ram,laptop_storage,laptop_graphic_card,laptop_graphic_card_memory
Lenovo IdeaPad 3-15ADA 81W1005LPB,https://www.senukai.lt/p/lenovo-ideapad-3-15ada-81w1005lpb/ezz6?cat=5ei&index=1,533.62,Lenovo,1920 x 1080,AMD Ryzen 3,DDR4,0,0,Radeon,Dynamic
Lenovo IdeaPad 3-15ADA 81W1005JPB PL,https://www.senukai.lt/p/lenovo-ideapad-3-15ada-81w1005jpb-pl/eya2?cat=5ei&index=2,529,Lenovo,1920 x 1080,AMD Ryzen 3,DDR4,0,0,Radeon,Dynamic
Lenovo Ideapad C340-14API Black 81N600ATPB PL,https://www.senukai.lt/p/lenovo-ideapad-c340-14api-black-81n600atpb-pl/e8p3?cat=5ei&index=3,559,Lenovo,1920 x 1080,AMD Ryzen 3,DDR4,0,256,Radeon Vega 3,Dynamic
Lenovo IdeaPad 5-15ARE Platinum Grey 81YQ008FLT,https://www.senukai.lt/p/lenovo-ideapad-5-15are-platinum-grey-81yq008flt/f11x?cat=5ei&index=4,499,Lenovo,1920 x 1080,AMD Ryzen 3,DDR4,0,0,Radeon,Dynamic
Lenovo IdeaPad L340-15IRH Gaming 81LK00GVLT,https://www.senukai.lt/p/lenovo-ideapad-l340-15irh-gaming-81lk00gvlt/e27q?cat=5ei&index=5,794,Lenovo,1920 x 1080,Intel® Core™ i5,DDR4,0,256,GeForce GTX 1650,4 GB GDDR5
MSI GF65 Thin 9SEXR-261XPL PL,https://www.senukai.lt/p/msi-gf65-thin-9sexr-261xpl-pl/ebar?cat=5ei&index=6,990,MSI,1920 x 1080,Intel® Core™ i5,DDR4,0,512,GeForce RTX 2060,6 GB GDDR6
"Apple MacBook Air 13.3"" Retina DC / i3 1.1GHz / 8GB / 256 SSD / ENG Space Gray",https://www.senukai.lt/p/apple-macbook-air-13-3-retina-dc-i3-1-1ghz-8gb-256-ssd-eng-space-gray/eket?cat=5ei&index=7,1,Apple,2560 x 1600,,,0,256,Iris Plus,Dynamic
Kompiuteris nešiojamas ASUS TUF Gaming FX505du,https://www.senukai.lt/p/kompiuteris-nesiojamas-asus-tuf-gaming-fx505du/c943?cat=5ei&index=8,1,Asus,1920 x 1080,AMD Ryzen 7,DDR4,0,512,GeForce GTX 1660 Ti,6 GB GDDR6
Lenovo IdeaPad 5-15ARE Platinum Grey 81YQ008HLT EN,https://www.senukai.lt/p/lenovo-ideapad-5-15are-platinum-grey-81yq008hlt-en/ewh9?cat=5ei&index=9,619.99,Lenovo,1920 x 1080,AMD Ryzen 3,DDR4,0,0,Radeon,Dynamic
Lenovo IdeaPad 5-15IIL Granite Black 81YK0066PB PL,https://www.senukai.lt/p/lenovo-ideapad-5-15iil-granite-black-81yk0066pb-pl/ep88?cat=5ei&index=10,737,Lenovo,1920 x 1080,Intel® Core™ i5,DDR4,0,512,Intel UHD Graphics,Dynamic
