laptop_name,laptop_url,laptop_price,laptop_manufacturer,laptop_resolution,laptop_processor_class,laptop_ram_type,laptop_ram,laptop_storage,laptop_graphic_card,laptop_graphic_card_memory,laptop_image_link
Lenovo Ideapad C340-14API Black 81N600ATPB PL,https://www.senukai.lt/p/lenovo-ideapad-c340-14api-black-81n600atpb-pl/e8p3?cat=5ei&index=1,646.57,Lenovo,1920 x 1080,AMD Ryzen 3,DDR4,8,256,Radeon Vega 3,Dynamic,https://ksd-images.lt/display/aikido/store/1e3628060337b388dd4ffbce4f20f608.jpg?h=742&w=816
Lenovo IdeaPad 3-15ADA 81W1005JPB PL,https://www.senukai.lt/p/lenovo-ideapad-3-15ada-81w1005jpb-pl/eya2?cat=5ei&index=2,605.99,Lenovo,1920 x 1080,AMD Ryzen 3,DDR4,4,256,Radeon,Dynamic,https://ksd-images.lt/display/aikido/store/ef589af039d4378bddae5bd98343aa85.jpg?h=742&w=816
Huawei MateBook D14 R5/8GB/512GB/W10,https://www.senukai.lt/p/huawei-matebook-d14-r5-8gb-512gb-w10/do63?cat=5ei&index=3,694.1,Huawei,1920 x 1080,AMD Ryzen 5,DDR4,8,512,Radeon Vega 8,Dynamic,https://ksd-images.lt/display/aikido/store/37f561b059462c7efb623ba7fed5e8d5.jpg?h=742&w=816
Nešiojamas kompiuteris Asus VivoBook D509DA Slate Gray,https://www.senukai.lt/p/nesiojamas-kompiuteris-asus-vivobook-d509da-slate-gray/f570?cat=5ei&index=4,529,Asus,1920 x 1080,AMD Ryzen 3,DDR4,4,256,Radeon Vega 8,Dynamic,https://ksd-images.lt/display/aikido/store/d5e6b9e521c76e4c6d0ca6601e523427.jpg?h=742&w=816
Lenovo IdeaPad 5-15ARE Platinum Grey 81YQ008FLT,https://www.senukai.lt/p/lenovo-ideapad-5-15are-platinum-grey-81yq008flt/f11x?cat=5ei&index=5,519,Lenovo,1920 x 1080,AMD Ryzen 3,DDR4,4,128,Radeon,Dynamic,https://ksd-images.lt/display/aikido/store/b1ea3457ce283ee48adbd40318ccfb8b.jpg?h=742&w=816
Lenovo Ideapad L340-17API Black 81LY003LPB,https://www.senukai.lt/p/lenovo-ideapad-l340-17api-black-81ly003lpb/cz60?cat=5ei&index=6,613.19,Lenovo,1920 x 1080,AMD Ryzen 5,DDR4,8,256,Radeon Vega 8,Dynamic,https://ksd-images.lt/display/aikido/store/329303cc3fb55ba23bf4c4debe00cd10.jpg?h=742&w=816
Lenovo IdeaPad 3-17ADA Platinum Gray 81W20019PB PL,https://www.senukai.lt/p/lenovo-ideapad-3-17ada-platinum-gray-81w20019pb-pl/emij?cat=5ei&index=7,627,Lenovo,1600 x 900,AMD Ryzen 3,DDR4,8,256,AMD Graphics,Dynamic,https://ksd-images.lt/display/aikido/store/93c8c033271c8b9a99735e9d4f640b62.jpg?h=742&w=816
Acer Nitro 5 AN515-55-516M Black,https://www.senukai.lt/p/acer-nitro-5-an515-55-516m-black/fbsf?cat=5ei&index=8,889,Acer,1920 x 1080,Intel® Core™ i5,DDR4,8,512,GeForce GTX 1650,4 GB GDDR6,https://ksd-images.lt/display/aikido/store/dce631b8e5353847acf954c6066fcd05.jpg?h=742&w=816
Acer Aspire 5 A515-55 Black NX.HSKEL.006,https://www.senukai.lt/p/acer-aspire-5-a515-55-black-nx-hskel-006/ds2p?cat=5ei&index=9,749,Acer,1920 x 1080,Intel® Core™ i5,DDR4,8,512,Intel UHD Graphics,Dynamic,https://ksd-images.lt/display/aikido/store/e440cbb9fa6a365aa48cb9b260a64bc7.jpg?h=742&w=816
Asus 14 X409MA-EB215T Slate Grey,https://www.senukai.lt/p/asus-14-x409ma-eb215t-slate-grey/f29g?cat=5ei&index=10,419.99,Asus,1920 x 1080,Pentium®,SODIMM,4,128,Intel UHD Graphics 605,Dynamic,https://ksd-images.lt/display/aikido/store/399bea8bb6c0597ffe013cf6544847ba.jpg?h=742&w=816
